keywords,city,Aggdata Store Number,store_number,address,state,zip_code,,,,,,,
Tops Friendly,Spencerport,453,#453 #0453,27 Slayton Ave,NY,14559,,,,,,,
Tops Friendly,Rochester,460,#460 #0460,285 Upper Falls Blvd.,NY,14605,,,,,,,
Tops Friendly,Auburn,504,#504 #0504,352 West Genesee St.,NY,13021,,,,,,,
Tops Friendly,Cortland,517,#517 #0517,3932 State Route 281,NY,13045,,,,,,,
Tops Friendly,Dansville,520,#520 #0520,35 Franklin Plaza,NY,14437,,,,,,,
Tops Friendly,Lansing,522,#522 #0522,2300 N. Triphammer Road,NY,14850,,,,,,,
Tops Friendly,Ithaca,525,#525 #0525,710 S Meadow St,NY,14850,,,,,,,
Tops Friendly,Bath,539,#539 #0539,309 W. Morris Street,NY,14810,,,,,,,
Tops Friendly,Elmira,542,#542 #0542,"830 Consumer Sq, Plaza, Rt. 64",NY,14903,,,,,,,
Tops Friendly,Elmira,551,#551 #0551,299 S. Main Street,NY,14904,,,,,,,
Tops Friendly,Waterloo,565,#565 #0565,1963 Kingdom Plaza,NY,13165,,,,,,,
Tops Friendly,Penn Yan,566,#566 #0566,321 Liberty Street,NY,14527,,,,,,,
Tops Friendly,Cortland,567,#567 #0567,"Rts. 81 & 13, 160 Clinton Avenue",NY,13045,,,,,,,
Tops Friendly,Cooperstown,568,#568 #0568,"5 Commons Drive, Rt 28",NY,13326,,,,,,,
Tops Friendly,Norwich,569,#569 #0569,54 E. Main Street,NY,13815,,,,,,,
Tops Friendly,Lowville,574,#574 #0574,"7301 South State Street, Lowville Plaza",NY,13367,,,,,,,
Tops Friendly,Watkins Glen,576,#576 #0576,504 1/2 South Franklin Street,NY,14891,,,,,,,
Tops Friendly,Ithaca,577,#577 #0577,315 Pine Tree Road,NY,14850,,,,,,,
Tops Friendly,Elmira,578,#578 #0578,"1600 Cedar St., Southtown Plaza",NY,14904,,,,,,,
Tops Friendly,Owego,579,#579 #0579,1145 Rt. 17-C,NY,13827,,,,,,,
Tops Friendly,Pulaski,585,#585 #0585,3830 Rome Road,NY,13142,,,,,,,no changes
Tops Friendly,Camden,586,#586 #0586,9554 Harden Blvd/State Rt 13,NY,13316,,,,,,,
Tops Friendly,Rome,587,#587 #0587,217 Erie Blvd. West,NY,13440,,,,,,,
Tops Friendly,Bath,588,#588 #0588,404 W. Morris Street,NY,14810,,,,,,,
Tops Friendly,Watertown,589,#589 #0589,22050 Seaway Shopping Center,NY,13601,,,,,,,
Tops Friendly,Ithaca,591,#591 #0591,2309 N. Triphammer Road,NY,14850,,,,,,,
Tops Friendly,Mexico,594,#594 #0594,3385 Main Street,NY,13114,,,,,,,
Tops Friendly,Sandy Creek,595,#595 #0595,6103 North Main Street,NY,13145,,,,,,,
Tops Friendly,Adams,596,#596 #0596,10916 US RT 11,NY,13605,,,,,,,
Tops Friendly,Washington,597,#597 #0597,1330 Washington Street,NY,13601,,,,,,,
Tops Friendly,Boonville,598,#598 #0598,261 Utica Blvd.,NY,13309,,,,,,,
Tops Friendly,Erie,601,#601 #0601,1702 E. 38th  Street,PA,16510,,,,,,,
Tops Friendly,Erie,602,#602 #0602,1520 W. 26th St. @ Green Garden,PA,16508,,,,,,,
Tops Friendly,Bradford,610,#610 #0610,150 Main Street,PA,16701,,,,,,,
Tops Friendly,Sayre,650,#650 #0650,1006 N. Elmira Street,PA,18840,,,,,,,
Tops Friendly,Erie,665,#665 #0665,"712 West 38th St., Liberty Plaza",PA,16508,,,,,,,
Tops Friendly,Waterford,667,#667 #0667,"230 South High St., PO Box 327",PA,16441,,,,,,,
Tops Friendly,Union City,668,#668 #0668,19-21 East High Street,PA,16438,,,,,,,
Tops Friendly,Youngsville,669,#669 #0669,28 Railroad Street,PA,16371,,,,,,,
Tops Friendly,Meadville,670,#670 #0670,"144 Center St., - Downtown Mall",PA,16335,,,,,,,
Tops Friendly,Sheffield,671,#671 #0671,9 Leather Street,PA,16347,,,,,,,
Tops Friendly,Kane,672,#672 #0672,525 North Fraley Street,PA,16735,,,,,,,
Tops Friendly,Wellsboro,676,#676 #0676,11 Main Street,PA,16901,,,,,,,
Tops Friendly,Troy,677,#677 #0677,684 Elmira Street,PA,16947,,,,,,,
Tops Friendly,Canton,678,#678 #0678,"East Main Street, RR #1",PA,17724,,,,,,,
Tops Friendly,Sayre,679,#679 #0679,448 N. Keystone Avenue,PA,18840,,,,,,,
Tops Friendly,Towanda,680,#680 #0680,"Bradford Towne Center, RR Box 6035",PA,18848,,,,,,,
Tops Friendly,Sayre,683,#683 #0683,1730 Elmira Street,PA,18840,,,,,,,
