Keywords,city,store_number,store_number,address,state,zip_code
Publix,Melbourne,202,202 #0202 #202,3200 Lake Washington Rd,FL,32934-7620
Publix,Ormond Beach,203,203 #0203 #203,220 N Nova Rd,FL,32174-5124
Publix,Miami,204,204 #0204 #204,11495 Bird Rd,FL,33165-3311
Publix,Easley,205,205 #0205 #205,6525 Calhoun Memorial Hwy,SC,29640-3669
Publix,Huntsville,209,209 #0209 #209,12796 Bailey Cove Rd SE,AL,35803-2659
Publix,Davie,210,210 #0210 #210,4701 S University Dr,FL,33328-3819
Publix,Palm Beach Gardens,212,212 #0212 #212,10913 N Military Trl,FL,33410-6501
Publix,Pembroke Pines,213,213 #0213 #213,1657 N Hiatus Rd,FL,33026-2129
Publix,Margate,214,214 #0214 #214,7230 W Atlantic Blvd,FL,33063-4236
Publix,Palm Bay,215,215 #0215 #215,4711 Babcock St NE,FL,32905-2805
Publix,Lake Placid,219,219 #0219 #219,350 US 27 N,FL,33852-9541
Publix,Spring Hill,220,220 #0220 #220,1400 Pinehurst Dr,FL,34606-4553
Publix,Miami,222,222 #0222 #222,13890 SW 56th St,FL,33175-6021
Publix,Miami,223,223 #0223 #223,14601 S Dixie Hwy,FL,33176-7926
Publix,Johns Creek,226,226 #0226 #226,5805 State Bridge Rd,GA,30097-8220
Publix,Apopka,227,227 #0227 #227,540 S Hunt Club Blvd,FL,32703-4960
Publix,Jupiter,228,228 #0228 #228,6330 W Indiantown Rd,FL,33458-7981
Publix,New Smyrna Beach,229,229 #0229 #229,709 E 3rd Ave,FL,32169-3101
Publix,Live Oak,231,231 #0231 #231,1528 Ohio Ave S,FL,32064-4514
Publix,Saint Cloud,235,235 #0235 #235,4401 13th St,FL,34769-6724
Publix,Miami,237,237 #0237 #237,13001 SW 112th St,FL,33186-4601
Publix,Miami,238,238 #0238 #238,14630 SW 26th St,FL,33175-8065
Publix,Sunrise,239,239 #0239 #239,10155 W Oakland Park Blvd,FL,33351-6918
Publix,Vero Beach,240,240 #0240 #240,1255 US Highway 1,FL,32960-5729
Publix,Stuart,241,241 #0241 #241,5893 SE Federal Hwy,FL,34997-7869
