UNIQUE_TRANSACTION_ID|DESCRIPTION|MERCHANT_NAME|FILE_CREATED_DATE|TRANSACTION_BASE_TYPE|AMOUNT
10005640731112869|PAPA JOHNS 480.COM       FT. LAUDERDA FL|Papa Murphy's|2012-06-12|debit|23.02
100056401536975784|PAPA JOHN'S #XXXXX       XXX-XXX-XXXX OK|Papa Murphy's|2014-11-25|debit|12.16
100056401173781487|PAPA JOHN'S #XXXXX.C     ABERDEEN     NC|Papa Murphy's|2013-12-16|debit|40.09
100056401235469344|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX NM|Papa Murphy's|2014-02-17|debit|19.18
100013722443587533|PAPA JOHNS 303.COM|Papa Murphy's|2012-12-03|debit|34.1
10005640656107873|PAPA JOHNS 789           CHESAPEAKE   VA|Papa Murphy's|2012-02-14|debit|14.15
10005640867418910|PAPA JOHNS #0811.COM     HILLIARD     OH|Papa Murphy's|2012-12-19|debit|18.99
10005640850720213|PAPA JOHNS #0037.COM     BOWLING GREENKY|Papa Murphy's|2012-11-28|debit|17.72
10006164828067592|PAPA JOHN'S XXXXX.COM XXX-XXX-XXXX AZ|Papa Murphy's|2014-09-22|debit|10.26
10005640811273298|PAPA JOHNS #1147.COM     EVANS        GA|Papa Murphy's|2012-10-04|debit|26.56
10006164971750351|PAPA JOHN'S #XXXXX.COM XXX-XXX-XXXX NJ|Papa Murphy's|2015-03-31|debit|13.01
10006164660151225|PAPA JOHN'S #XXXXX.COM XXX-XXX-XXXX NC|Papa Murphy's|2014-02-07|debit|10.66
100013722395967553|PAPA JOHN'S #3508.COBUCKEYE     XXXXXXXXX 7 XXXXXXXXXX|Papa Murphy's|2012-10-23|debit|12.68
100056401450900847|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX WA|Papa Murphy's|2014-09-09|debit|17.85
100013723396741407|PAPA JOHN'S #XXXXX.COM|Papa Murphy's|2014-10-24|debit|35.51
10005640710172068|PAPA JOHNS #1435.COM 3000ASPEN HILL   MD|Papa Murphy's|2012-05-18|debit|25.2
10005640854175265|PAPA JOHN'S #1457.COM    XXX-XXX-XXXX CO|Papa Murphy's|2012-12-03|debit|24.75
100056401709541269|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX UT|Papa Murphy's|2015-04-21|debit|51.93
1000580886923317|PAPA JOHN'S #XXXXX.COM|Papa Murphy's|2013-10-04|debit|77.34
100013722207493174|PAPA JOHNS #0572.COM 3 LANTANA      FL|Papa Murphy's|2012-05-24|debit|23.59
100056401510921620|PAPA JOHN'S XXXXX        XXX-XXX-XXXX FL|Papa Murphy's|2014-11-01|debit|25.56
10006164829215242|PAPA JOHN'S #XXXXX.COM XXX-XXX-XXXX DC|Papa Murphy's|2014-09-23|debit|33.89
100056401531074313|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX MO|Papa Murphy's|2014-11-19|debit|9.64
1000524449796213|PAPA JOHNS 1104  XXXXX0041 XXXXX7272 IL|Papa Murphy's|2012-11-07|debit|0.8
100056401615495312|PAPA JOHN'S #XXXXX XXX-XXX-XXXX VAREFERENCE ID: XXXXXXXXS007TF1Y1|Papa Murphy's|2015-01-29|debit|18.92
10005640799533256|PAPA JOHNS #3518         PUEBLO       CO|Papa Murphy's|2012-09-17|debit|4.69
10005640744320861|PAPA JOHNS #2513         XXXXXXXXXX   ND|Papa Murphy's|2012-06-29|debit|12.84
10006164616824799|PAPA JOHN'S #XXXXX XXX-XXX-XXXX CA|Papa Murphy's|2013-12-09|debit|14.14
10006164287102003|PAPA JOHN'S #3734 ALHAMBRA CA|Papa Murphy's|2012-08-08|debit|21.74
10005640957552805|PAPA JOHNS               XXX-XXX-XXXX DC|Papa Murphy's|2013-04-17|debit|17.33
10006164422382487|PAPA JOHNS #2447.COM ANNANDALE VA|Papa Murphy's|2013-03-07|debit|32.7
10005640679756073|PAPA JOHNS 801           V BEACH      VA|Papa Murphy's|2012-03-27|debit|25.0
1000524492980105|PAPA JOHNS XXXXX  XXXXX0043 XXXXX1600 FL|Papa Murphy's|2014-10-16|debit|24.61
10006164939057003|PAPA JOHN'S XXXXX XXX-XXX-XXXX FL|Papa Murphy's|2015-02-16|debit|17.98
100056401067466821|PAPA JOHNS #1245.COM     ENTERPRISE   AL|Papa Murphy's|2013-08-24|debit|12.85
100056401278154771|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX MD|Papa Murphy's|2014-04-01|debit|22.0
10006164433663341|PAPA JOHNS #3596.COM CYPRESS TX|Papa Murphy's|2013-03-25|debit|5.24
100013722915863463|PAPA JOHN'S #XXXXX.COM XXX-XXX-XXXX TX - EXPRESS PAYMENT SERVICE MERCHANTS--FAST FOOD|Papa Murphy's|2013-11-21|debit|23.82
100056401168447512|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX GA|Papa Murphy's|2013-12-10|debit|49.74
10006164671231898|PAPA JOHN'S #XXXXX XXX-XXX-XXXX DE|Papa Murphy's|2014-02-24|debit|17.04
100056401264078634|PAPA JOHN'S XXXXX.COM    XXX-XXX-XXXX MD|Papa Murphy's|2014-03-18|debit|27.4
100056401098896568|PAPA JOHNS 442.COM|Papa Murphy's|2013-10-01|debit|29.36
10005640691156677|PAPA JOHNS #1815         LEAVENWORTH  KS|Papa Murphy's|2012-04-16|debit|25.96
10005640977938936|PAPA JOHNS 2981.COM      MINOT        ND|Papa Murphy's|2013-05-14|debit|48.75
10005640745758818|PAPA JOHNS 1303          FLOWER MOUND TX|Papa Murphy's|2012-07-01|debit|1.72
10006164257479088|PAPA JOHNS #2066.COM XXX-XXX-XXXX IA|Papa Murphy's|2012-06-22|debit|22.01
10006164389992957|PAPA JOHN'S #1102 FT COLLINS CO|Papa Murphy's|2013-01-14|debit|15.88
100056401465445264|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX GA|Papa Murphy's|2014-09-23|debit|24.0
10005640820183828|PAPA JOHNS 1024.COM      LAWRENCEVILL GA|Papa Murphy's|2012-10-16|debit|35.54
100056401377810282|PAPA JOHN'S XXXXX        XXX-XXX-XXXX VA|Papa Murphy's|2014-07-05|debit|19.82
10005640904684559|PAPA JOHN'S #3768.COM    ALTUS        OK|Papa Murphy's|2013-02-07|debit|32.35
10006164758222814|PAPA JOHN'S #XXXXX.CFOREST PARK XXXXXX      FAST FOOD RESTAURANT|Papa Murphy's|2014-06-20|debit|23.4
10006164986337412|PAPA JOHN'S #XXXXX XXX-XXX-XXXX GA|Papa Murphy's|2015-04-20|debit|18.37
100056401690498240|PAPA JOHN'S #XXXXX.C     LEXINGTON    SC|Papa Murphy's|2015-04-06|debit|30.21
1000281240792307|PAPA JOHNS 1547 TUSCALOOSA AL - EXPRESS PAYMENT SERVICE MERCHANTS--FAST FOOD|Papa Murphy's|2013-04-06|debit|20.26
1000562874768046|WWW.PAPAJOHNS.CO.U XXXXX XXXXXX|Papa Murphy's|2013-07-22|debit|17.87
10006164210072255|PAPA JOHNS 1725.COM ELKRIDGE MD|Papa Murphy's|2012-05-29|debit|19.63
10006164487308787|PAPA JOHNS #3458.COM GRANDVIEW MO|Papa Murphy's|2013-06-12|debit|17.03
10005640906401491|PAPA JOHN'S #3220.COM|Papa Murphy's|2013-02-09|debit|14.9
100013722388562561|PAPA JOHNS #1921.COMBETTENDORF  XXXXXXXXX 6 XXXXXXXXXX|Papa Murphy's|2012-10-17|debit|16.46
10005640856168032|PAPA JOHNS #3575.COM     ANNAPOLIS    MD|Papa Murphy's|2012-12-05|debit|21.54
100056401638353469|PAPA JOHN'S #XXXXX       XXX-XXX-XXXX CA|Papa Murphy's|2015-02-19|debit|7.83
100056401709083298|PAPA JOHN'S #XXXXX.C FAIRFAX 106|Papa Murphy's|2015-04-21|debit|13.0
100013722720575167|PAPA JOHNS 1304.COM|Papa Murphy's|2013-06-30|debit|15.58
100056401715755047|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX NC|Papa Murphy's|2015-04-27|debit|38.46
10006164355623909|PAPA JOHNS #1270 MIAMI FL|Papa Murphy's|2012-11-22|debit|22.47
100056401612862114|PAPA JOHN'S XXXXX.COM XXX-XXX-XXXX COXXXXXR|Papa Murphy's|2015-01-27|debit|21.62
10006164336467421|PAPA JOHN'S #3820 BERKELEY CA|Papa Murphy's|2012-10-22|debit|4.49
10006164471359770|PAPA JOHN'S #4086 HARWOOD HEIGH IL|Papa Murphy's|2013-05-20|debit|70.46
100013722819710617|PURCHASE 09-18-13 PAPA JOHN'S XXXXX XXX-XXX-XXXX VA auth# XXXXXX|Papa Murphy's|2013-09-19|debit|9.43
100056401712923674|PAPA JOHN'S XXXXX        XXX-XXX-XXXX CO|Papa Murphy's|2015-04-24|debit|28.62
10005640909244112|PAPA JOHNS #0348.COM|Papa Murphy's|2013-02-13|debit|11.77
10005640773551645|PAPA JOHNS #1007         LEXINGTON PARMD|Papa Murphy's|2012-08-10|debit|30.45
100013722785787463|PAPA JOHNS 1104.COM GLEN CARBON IL|Papa Murphy's|2013-08-16|debit|53.62
100056401137761331|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX NC|Papa Murphy's|2013-11-12|debit|18.05
100056401538689684|PAPA JOHN'S XXXXX.CO     HIGHLAND RANCCO|Papa Murphy's|2014-11-26|debit|26.01
100056401198763804|PAPA JOHN'S #XXXXX.COM|Papa Murphy's|2014-01-09|debit|15.44
10005640645534284|PAPA JOHNS #1147         EVANS        GA|Papa Murphy's|2012-01-24|debit|10.69
100056401103461104|PAPA JOHN'S #4106        CHICAGO      IL|Papa Murphy's|2013-10-05|debit|18.74
10005640659567070|PAPA JOHN'S #2049        RANCHO PALOS CA|Papa Murphy's|2012-02-20|debit|13.03
100056401618260162|PAPA JOHN'S XXXXX.COM    XXX-XXX-XXXX VA|Papa Murphy's|2015-02-01|debit|50.0
1000524454997241|PAPA JOHNS 632  XXXXX0041 XXXXX8000 OH|Papa Murphy's|2013-02-14|debit|24.25
100013723186813744|PAPA JOHN'S XXXXX      XXX-XXX-XXXX FL|Papa Murphy's|2014-05-30|debit|14.78
10006164923635190|PAPA JOHN'S XXXXX.COM XXX-XXX-XXXX VA|Papa Murphy's|2015-01-26|debit|21.09
100056401714090512|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX WA|Papa Murphy's|2015-04-25|debit|11.0
100056401272000716|PAPA JOHN'S XXXXX.COM    XXX-XXX-XXXX TX|Papa Murphy's|2014-03-25|debit|10.27
10002812164899529|PAPA JOHN'S #XXXXX  FAST FOOD RE XXXXXX     XXXXXXXXXXXXXXXXXXXXXX|Papa Murphy's|2014-09-13|debit|512.75
10006164266253501|PAPA JOHN'S #3128 REGO PARK NY|Papa Murphy's|2012-07-05|debit|17.57
10006956286143193|PAPA JOHN'S #XXXXX.COM XXX-XXX-XXXX FL|Papa Murphy's|2014-07-23|debit|16.58
100013723022402453|PAPA JOHN'S #XXXXX.COM|Papa Murphy's|2014-02-05|debit|19.93
100056401307753284|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX MS|Papa Murphy's|2014-04-29|debit|52.0
100081643528871866|PAPA JOHN'S #XXXXX|Papa Murphy's|2015-01-13|debit|23.86
100056401338858666|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX VA|Papa Murphy's|2014-05-29|debit|31.81
100056401700193763|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX GA|Papa Murphy's|2015-04-14|debit|40.73
100013722926767196|PAPA JOHN'S #XXXXX.COM XXX-XXX-XXXX KY|Papa Murphy's|2013-11-30|debit|10.6
100013723600232731|PAPA JOHN'S #XXXXX       XXX-XXX-XXXX WA|Papa Murphy's|2015-02-19|debit|35.83
1000281285277947|PAPA JOHN'S #XXXXX XXX-XXX-XXXX IA|Papa Murphy's|2013-12-07|debit|92.7
100056401209415157|PAPA JOHN'S #XXXXX       XXX-XXX-XXXX VA|Papa Murphy's|2014-01-21|debit|19.75
10006164321126263|PAPA JOHNS 245.COM XXX-XXX-XXXX MD|Papa Murphy's|2012-09-28|debit|25.14
10005640810075803|PAPA JOHNS #0796.COM     BEAVERCREEK  OH|Papa Murphy's|2012-10-02|debit|21.64
10005640729630971|PAPA JOHN'S #1807.COM    JACKSONVILLE FL|Papa Murphy's|2012-06-09|debit|32.07
10005640820343463|PAPA JOHN'S #3768.COM    ALTUS        OK|Papa Murphy's|2012-10-17|debit|30.92
10006956432182888|PAPA JOHN'S #XXXXX.COM|Papa Murphy's|2014-12-10|debit|22.7
100056401357544212|PAPA JOHN'S XXXXX.COM    XXX-XXX-XXXX TX|Papa Murphy's|2014-06-16|debit|19.75
10005640892224759|PAPA JOHNS 1062          GEORGETOWN   TX|Papa Murphy's|2013-01-21|debit|21.65
100056401196891530|PAPA JOHN'S XXXXX.COM XXX-XXX-XXXX VA|Papa Murphy's|2014-01-07|debit|17.1
100056401596514692|PAPA JOHN'S XXXXX.COM    XXX-XXX-XXXX VA|Papa Murphy's|2015-01-13|debit|29.61
10002812236230804|PAPA JOHN'S #4047.COM|Papa Murphy's|2015-03-09|debit|20.27
971000522067867155|PAPA JOHN'S #2556 30LEHIGH ACRE XXXXXXXXX   XXXXXXXXXX|Papa Murphy's|2012-05-15|debit|36.97
100056401508992358|PAPA JOHN'S #XXXXX       WASHINGTON   DC|Papa Murphy's|2014-10-30|debit|20.46
10006164555392045|PAPA JOHNS #1979.COM SAN DIEGO CA|Papa Murphy's|2013-09-24|debit|28.48
10005640843053037|PAPA JOHNS #3596.COM     CYPRESS      TX|Papa Murphy's|2012-11-19|debit|32.24
100056401662600946|PAPA JOHN'S XXXXX        XXX-XXX-XXXX CO|Papa Murphy's|2015-03-12|debit|30.09
10005640835385756|PAPA JOHNS #2565.COM     DAMASCUS     MD|Papa Murphy's|2012-11-07|debit|27.47
100056401489900862|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX FL|Papa Murphy's|2014-10-14|debit|35.16
100056401717080871|PAPA JOHN'S #4437.COM    XXX-XXX-XXXX TX|Papa Murphy's|2015-04-28|debit|19.65
10006164248674709|PAPA JOHNS NAPLES FL|Papa Murphy's|2012-06-11|debit|23.13
10006164868053894|PAPA JOHN'S #XXXXX.COM XXX-XXX-XXXX NY|Papa Murphy's|2014-11-13|debit|27.71
100056401223764509|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX MO|Papa Murphy's|2014-02-04|debit|27.51
100056401076394912|PAPA JOHNS#1325.COM DOVER DE - EXPRESS PAYMENT SERVICE MERCHANTS--FAST FOOD|Papa Murphy's|2013-09-03|debit|14.25
10006164334136541|PAPAJOHNPIZZA#3621.COM XXX-XXX-XXXX IL|Papa Murphy's|2012-10-19|debit|11.21
100013722668066745|PAPA JOHNS 1071.COM|Papa Murphy's|2013-05-23|debit|25.54
100056401498571620|PAPA JOHN'S #XXXXX       XXX-XXX-XXXX VA|Papa Murphy's|2014-10-21|debit|19.67
100013723065216176|PAPA JOHNS #3129       XXXXXXXXXX   CA|Papa Murphy's|2014-03-04|debit|21.79
10005640686280927|PAPA JOHN'S #3768.COM    ALTUS        OK|Papa Murphy's|2012-04-07|debit|18.96
100056401191417972|PAPA JOHN'S XXXXX.COM    XXX-XXX-XXXX FL|Papa Murphy's|2014-01-02|debit|23.4
10000004242486442|PAPA JOHN'S #XXXXX XXX-XXX-XXXX TN XXXXX USA|Papa Murphy's|2015-02-05|debit|22.83
10002812178716711|PAPA JOHN'S #XXXXX.COM|Papa Murphy's|2014-10-22|debit|27.45
10006164382643701|PAPA JOHNS 25.COM LOUISVILLE KY|Papa Murphy's|2013-01-02|debit|15.12
10006164771111706|PAPA JOHN'S #XXXXX XXX-XXX-XXXX IL|Papa Murphy's|2014-07-07|debit|22.89
100081643457882568|PAPA JOHN'S #XXXXX|Papa Murphy's|2014-12-02|debit|37.74
100013723783432478|PAPA JOHN'S #XXXXX.CBRISTOL     XXXXXX      FAST FOOD RESTAURANT|Papa Murphy's|2015-04-27|debit|42.52
100056401423737425|PAPA JOHN'S XXXXX|Papa Murphy's|2014-08-15|debit|17.81
10005640946609736|PAPA JOHN'S #708.COMGAMBRILLS   XXXXXXXXX   XXXXXXXXXX|Papa Murphy's|2013-04-03|debit|53.49
10005640840566413|PAPA JOHN'S #2168.COM    LA MIRADA    CA|Papa Murphy's|2012-11-15|debit|25.12
1000281255321549|PAPA JOHNS #3664.COMMISSION VIE XXXXXXXXX 3 XXXXXXXXXX|Papa Murphy's|2013-07-16|debit|23.39
100056401450488747|PAPA JOHN'S #XXXXX.COM   XXX-XXX-XXXX NC|Papa Murphy's|2014-09-09|debit|33.82
