row_id|at_merchantid|at_transactioncity|at_transactionstateprovince|at_transactionpostalcode1|at_transactionpostalcode2|at_transactioncountrycode|at_transactiondescription|at_transactiondescription2|at_mcccode
5575||||||||ard ending in 6902|
5584||||||||ard ending in 3748|
5610||||||||ard ending in 5147|
5613||||||||MG Trust              |
5664||||||||ard ending in 7298|
5681||||||||WF HOME MTG      |
5686||||||||CITI AUTOPAY     |
5704||||||||IL DEPT OF REVEN |
5705||||||||Seterus, Inc.    |
5717||||||||SOLVAY FINANCE         |
5747||||||||ard ending in 4229|
5824||||||||BARCLAYCARD US   |
5830||||||||WF HOME MTG      |
5831||||||||GROUPON INC           |
5885||||||||JP CRT FF CA          |
5920||||||||OXFORD HEALTH 2  |
5942|||||||| MMA ...3535 transaction#: 4|
5961||||||||SSI PAYROLL 0615      |
6001||||||||ard ending in 5318|
6030||||||||Payroll          |
6066||||||||BLACK INK INSURA |
6086||||||||CAPITAL ONE      |
6117||||||||ard ending in 4671|
6126||||||||ADP TX/FINCL SVC      |
6191||||||||CHASE EQUIP FIN       |
6203||||||||PAYMENTECH            |
6210||||||||ard ending in 2505|
6228||||||||Payroll          |
6240||||||||ard ending in 3293|
6253||||||||ard ending in 9737|
6255||||||||STEARNS LENDING  |
6277||||||||BANCORPSV             |
6282||||||||MBM CORP         |
6290||||||||WF FIN BANK      |
6292||||||||  MMA ...8499 transaction#: |
6317||||||||Nationstar       |
6319||||||||JPMORGAN CHASE   |
6324||||||||PAYROLL SERVICE  |
6326||||||||ADP TX/FINCL SVC |
6369||||||||OCWEN            |
6412||||||||GREEN TREE       |
6457||||||||NFCU ACH         |
6493||||||||PENNYMAC         |
6513||||||||ard ending in 8970|
6522||||||||ard ending in 9980|
6544||||||||GRN TREE         |
6552|||||||| MMA ...3172 transaction#: 4|
6559||||||||PAYPAL           |
6566||||||||  CHK ...2909 transaction#: |
6568||||||||PAYCHEX TPS      |
6579||||||||FREEDOM MORTGAGE |
6583||||||||CHASE            |
6607||||||||ard ending in 3804|
6637||||||||PENTAGON FEDERAL |
6655||||||||PNC MORTGAGE 2   |
6673||||||||WESTERN FCU      |
6729||||||||MERCHANT BNKCD         |
6742|||||||| 4971372820 To Juan A. Rede |
6759||||||||BLOOMINGDALES    |
6855||||||||ard ending in 8073|
6859||||||||INTUIT PAYROLL S |
6862||||||||FORD CREDIT      |
6877|||||||| 4971242850 To Yahoo Inc (_#|
6886||||||||ard ending in 3504|
6940||||||||HSA CONTRIBUTION      |
6982||||||||DISCOVER         |
7016|||||||| 4971232343 To Walker (_####|
7076||||||||FLAGSTAR BANK    |
7094||||||||ard ending in 9205|
