Merchant Name,Brand,Merchant Address,Merchant City,Merchant State,Detail Level,Fuel Type1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPE CORAL BP      QPS,BP OIL,2231 DEL PRADO BLVD,CAPE CORAL,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLONIAL BP        QPS,BP OIL,1424 SW 51ST LN,CAPE CORAL,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOME TOWN BP       QPS,BP OIL,155 HWY 98,CARRABELLE,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KORNER KWIK STOP   QPS,BP OIL,8360 N CENTURY BLVD.,CENTURY,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERVIEW BAIT&TACKQPS,BP OIL,617 W WASHINGTON,CHATTAHOOCHEE,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONE''S            QPS,BP OIL,13754 NW US 19 N,CHIEFLAND,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HANDI-MART # 4     QPS,BP OIL,1230 MAIN STREET,CHIPLEY,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47188 COURTHOUSE BPQPS,BP OIL,JACKSON AVE & 3RD,CHIPLEY,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STORE #2072        QPS,BP OIL,168 N ELGIN PKW,CINCO BAYOU,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO EXP #1259 QPS,BP OIL,12995 N US HWY 441,CITRA,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QK #1              QPS,BP OIL,18373 N US HWY 301,CITRA,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP 17156 N US HWY 2QPS,BP OIL,190 N HWY 27,CLEARMONT,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIANT OIL # 112    QPS,BP OIL,3009 GULF TO BAY,CLEARWATER,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGHLAND SQ AMOCO  QPS,BP OIL,1801 HIGHLAND AVE,CLEARWATER,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLAND ESTATES     QPS,BP OIL,50 ISLAND WAY,CLEARWATER,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSET BP          QPS,BP OIL,1801 SUNSET PT,CLEARWATER,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ULMERTON AMOCO     QPS,BP OIL,5545 ULMERTON RD,CLEARWATER,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP 14364 HWY 27    QPS,BP OIL,600 US HWY 27,CLERMONT,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP 18885 SR 50 CLERQPS,BP OIL,16431 SR 50,CLERMONT,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLERMONT BP        QPS,BP OIL,20339 HWY 27 NORTH,CLERMONT,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOUGS BP           QPS,BP OIL,3520 N COCOA BLVD,COCOA,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNRISE FOOD MART11QPS,BP OIL,5550 SR 524,COCOA,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE # 83      QPS,BP OIL,4580 GRISSOM PKY,COCOA,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE #01       QPS,BP OIL,5 N COCOA BLVD,COCOA,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE #121      QPS,BP OIL,1907 HWY 524,COCOA,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE #16       QPS,BP OIL,4220 W KING ST,COCOA,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE #170      QPS,BP OIL,5807 N US HIGHWAY 1,COCOA,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCONUT BP         QPS,BP OIL,3910 W HILLSBORO BLV,COCONUT CREEK,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREEK PLAZA BP     QPS,BP OIL,4811 COCONUT CREEK,COCONUT CREEK,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINSTON PARK BP    QPS,BP OIL,5425 LYONS RD,COCONUT CREEK,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STIRLING RD OPER LLQPS,BP OIL,10295 STIRLING RD,COOPER CITY,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE 105       QPS,BP OIL,382 S DIXIE HWY,CORAL GABLES,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORAL RIDGE BP.    QPS,BP OIL,11655 W SAMPLE RD,CORAL SPRINGS,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILES BP           QPS,BP OIL,10575 WILES RD,CORAL SPRINGS,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILES ROAD BP      QPS,BP OIL,8268 WILES RD,CORAL SPRINGS,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STORE #7056        QPS,BP OIL,2639 HWY 231,COTTONDALE,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48190 STEELE CITY BQPS,BP OIL,2184 HIGHWAY 231,COTTONDALE,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STORE #2060        QPS,BP OIL,510 FERNDON BLVD,CRESTVIEW,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STORE #2066        QPS,BP OIL,3051 FERDON BLVD,CRESTVIEW,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KING OIL & TIRE    QPS,BP OIL,MAIN & WARD STS,CROSS CITY,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIANT OIL # 107    QPS,BP OIL,662 HWY 19 NE,CRYSTAL RIVER,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO EXP #6279 QPS,BP OIL,6296 W GULF TO LAKE,CRYSTAL RIVER,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP GIT N GO        QPS,BP OIL,14113 US HWY 98,DADE CITY,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DADE CITY BP       QPS,BP OIL,18232 HIGHWAY 301,DADE CITY,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP 16883 CHAMPIONSGQPS,BP OIL,8200 CHAMPIONSGATE,DAVENPORT,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRYAN PETR 104     QPS,BP OIL,1205 NOB HILL RD,DAVIE,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE 142       QPS,BP OIL,4450 S UNIVERSITY DR,DAVIE,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE 146       QPS,BP OIL,13652 W STATE RD 84,DAVIE,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAYTONA BEACH BP   QPS,BP OIL,971 W INTL SPEEDWAY,DAYTONA BEACH,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO EXP # 2612QPS,BP OIL,2495 TOMOKA FARMS RD,DAYTONA BEACH,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO EXP #6082 QPS,BP OIL,1379 BEVILLE RD,DAYTONA BEACH,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNSHINE #2        QPS,BP OIL,2980 VOLUSIA DR  -I-,DAYTONA BEACH,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAKTI LLC          QPS,BP OIL,100 N CHRLS RCHRD BE,DE BARY,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEERFIELD BP       QPS,BP OIL,299 W HILLSBORO BLVD,DEERFIELD BEA,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STORE #3054        QPS,BP OIL,40 COY BURGESS LOOP,DEFUNIAK SPRI,FL,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
