Merchant Name,Brand,Merchant Address,Merchant City,Merchant State,Detail Level,Fuel Type1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLEETWAY #1037     QPS,BP OIL,4990 I 55 N,JACKSON,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J & S # 2 BP SHOP  QPS,BP OIL,3645 METRO DR,JACKSON,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J & S FOOD MART    QPS,BP OIL,2010 RAYMOND RD,JACKSON,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAMO FOOD & GAS    QPS,BP OIL,4201 TERRY RD,JACKSON,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDY''S BP         QPS,BP OIL,1780 S. GALLITAN ST,JACKSON,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM BP MART        QPS,BP OIL,5750 I-55 FRONTAGE R,JACKSON,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO CROSSING  QPS,BP OIL,98 VETERANS MEMRL DR,KOSCIUSKO,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP TRAVEL CENTER   QPS,BP OIL,IH-20 & HWY 80,LAKE,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M & W QUICK STOP   QPS,BP OIL,1048 HWY 72,LAMAR,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLAYDEN TRVL CNT   QPS,BP OIL,2710 HWY 72,LAMAR,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26521 DICKERSON PETQPS,BP OIL,HWY 12,LEXINGTON,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBERTY BP         QPS,BP OIL,MAIN & CLAIBORNE,LIBERTY,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO EXP #3846 QPS,BP OIL,124 EAST BEACH NTI,LONG BEACH,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP 24              QPS,BP OIL,MS HWY 24 & I-55,MCCOMB,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREAKPOINTE BP     QPS,BP OIL,203 EDGEWOOD DR,MCCOMB,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE BP        QPS,BP OIL,2096 US HWY 98 E,MCCOMB,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO EXP #3387 QPS,BP OIL,91933 HWY 98 W,MCLAIN,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA MERIDIAN        QPS,BP OIL,2150 RUSSELL,MERIDIAN,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEBERT''S BP        QPS,BP OIL,6318 HWY 613,MOSS POINT,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGNOLIA QUICK STOPQPS,BP OIL,3001 HWY 51N,NESBIT,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYLES BP SERVICE   QPS,BP OIL,303 DECATUR ST,NEWTON,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAO WOW''S          QPS,BP OIL,2400 GOVERNMENT ST,OCEAN SPRINGS,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JULIAN FAYARD''S BP QPS,BP OIL,6905 WASHINGTON AVE,OCEAN SPRINGS,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGAROO EXP #3384 QPS,BP OIL,1501 BIENVILLE BLVD,OCEAN SPRINGS,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHURCH ROAD BP     QPS,BP OIL,5028 HWY 305,OLIVE BRANCH,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HACKS CROSS BP     QPS,BP OIL,7590 HACKS CROSS RD,OLIVE BRANCH,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAC-N-SAC 3        QPS,BP OIL,6211 COCKRUM ST,OLIVE BRANCH,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAINBOW MARKET     QPS,BP OIL,11023 HWY 178,OLIVE BRANCH,MS,3,UNLEADED REGULAR (86 OR 87 OCTANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
