Accuracy,Class,True Positive,False Positive,False Negative,True Negative,Precision,Recall,Specificity,F Measure
,Talbots,980,1,0,1004298,0.9989806320081549,1.0,0.9999990042805977,0.9994900560938297
,Target,1534,3,0,1003742,0.9980481457384516,1.0,0.9999970111930819,0.9990231195050472
,TCBY,973,6,0,1004300,0.9938712972420838,1.0,0.9999940257252272,0.9969262295081968
,Teavana,977,0,0,1004302,1.0,1.0,1.0,1.0
,Tedeschi Food Shops,1023,0,0,1004256,1.0,1.0,1.0,1.0
,Tender Greens,1006,0,0,1004273,1.0,1.0,1.0,1.0
,Tesco,970,21,11,1004277,0.9788092835519677,0.9887869520897044,0.9999790898717313,0.9837728194726166
,Tesla,658,1,0,1004620,0.9984825493171472,1.0,0.9999990045997446,0.9992406985573272
,Tesoro,942,35,0,1004302,0.9641760491299898,1.0,0.9999651511395079,0.9817613340281397
,Texaco,1006,63,0,1004210,0.941066417212348,1.0,0.9999372680536069,0.9696385542168675
,Texas Roadhouse,1030,9,0,1004240,0.9913378248315688,1.0,0.9999910380792014,0.9956500724987917
,TGI Fridays,981,2,0,1004296,0.9979654120040692,1.0,0.9999980085592125,0.9989816700610997
,The Body Shop,990,8,0,1004281,0.9919839679358717,1.0,0.9999920341654643,0.9959758551307847
,The Capital Grille,1015,2,0,1004262,0.9980334316617503,1.0,0.999998008491791,0.9990157480314961
,The Cheesecake Factory,1190,1,0,1004088,0.9991603694374476,1.0,0.9999990040723482,0.9995800083998321
,The Children's Place,1046,3,0,1004230,0.9971401334604385,1.0,0.9999970126454717,0.9985680190930787
,The Coffee Bean,1002,5,0,1004272,0.9950347567030785,1.0,0.9999950212939259,0.997511199601792
,The Container Store,1084,3,1,1004191,0.9972401103955841,0.9990783410138249,0.9999970125294515,0.998158379373849
,The Counter,1021,3,1,1004254,0.9970703125,0.9990215264187867,0.9999970127168644,0.9980449657869013
,The Flame Broiler,985,2,0,1004292,0.9979736575481256,1.0,0.9999980085512808,0.9989858012170385
,The Food Emporium,1026,0,0,1004253,1.0,1.0,1.0,1.0
,The Fresh Market,992,6,0,1004281,0.9939879759519038,1.0,0.9999940256122005,0.9969849246231155
,The Habit Burger Grill,996,2,0,1004281,0.9979959919839679,1.0,0.9999980085294683,0.9989969909729188
,The Hertz Corporation,985,3,2,1004289,0.9969635627530364,0.9979736575481256,0.9999970128209724,0.9974683544303798
,The Honest Company,1008,1,0,1004270,0.9990089197224975,1.0,0.9999990042528362,0.9995042141794744
,The LEGO Store,1023,2,0,1004254,0.9980487804878049,1.0,0.9999980084759265,0.9990234375
,The Limited,971,2,0,1004306,0.9979445015416238,1.0,0.9999980085790415,0.9989711934156379
,The Melting Pot,1013,3,0,1004263,0.9970472440944882,1.0,0.9999970127436356,0.9985214391325776
,The New York Times,1022,0,0,1004257,1.0,1.0,1.0,1.0
,The North Face,1057,0,0,1004222,1.0,1.0,1.0,1.0
,The Pampered Chef,946,1,0,1004332,0.9989440337909187,1.0,0.9999990043143061,0.999471737982039
,The Paradies Shops,991,1,0,1004287,0.998991935483871,1.0,0.9999990042696916,0.9994957135653051
,The Sports Authority,1054,2,0,1004223,0.9981060606060606,1.0,0.999998008414449,0.9990521327014218
,The UPS Store,978,6,0,1004295,0.9939024390243902,1.0,0.9999940256954837,0.9969418960244648
,The Vitamin Shoppe,1076,10,0,1004193,0.990791896869245,1.0,0.9999900418540872,0.9953746530989825
,The Wall Street Journal,1040,0,0,1004239,1.0,1.0,1.0,1.0
,Things Remembered,1025,1,0,1004253,0.9990253411306043,1.0,0.9999990042359801,0.999512432959532
,ThinkGeek,1012,0,0,1004267,1.0,1.0,1.0,1.0
,Thirty-One Gifts,1022,1,0,1004256,0.9990224828934506,1.0,0.9999990042389548,0.9995110024449878
,Thorntons,978,6,0,1004295,0.9939024390243902,1.0,0.9999940256954837,0.9969418960244648
,Ticketfly,1045,2,0,1004232,0.9980897803247374,1.0,0.9999980084322977,0.9990439770554493
,Ticketmaster,1013,0,0,1004266,1.0,1.0,1.0,1.0
,Tiffany & Co.,742,13,1,1004523,0.9827814569536424,0.9986541049798116,0.999987058701729,0.9906542056074767
,TigerDirect,995,6,0,1004278,0.994005994005994,1.0,0.9999940255943538,0.9969939879759518
,Tijuana Flats,1009,0,0,1004270,1.0,1.0,1.0,1.0
,Tilted Kilt,997,0,0,1004282,1.0,1.0,1.0,1.0
,Tim Hortons,1010,1,1,1004267,0.9990108803165183,0.9990108803165183,0.9999990042498615,0.9990108803165183
,Time Warner Cable,1026,3,0,1004250,0.9970845481049563,1.0,0.9999970127049658,0.9985401459854015
,TiVo,1049,4,0,1004226,0.9962013295346629,1.0,0.9999960168487299,0.9980970504281638
