Accuracy,Class,True Positive,False Positive,False Negative,True Negative,Precision,Recall,Specificity,F Measure
,Groupon,1063,0,0,875937,1.0,1.0,1.0,1.0
,GrubHub,1059,1,4,875936,0.9990566037735849,0.9962370649106302,0.9999988583653847,0.9976448422044276
,Guitar Center,171,11,0,876818,0.9395604395604396,1.0,0.9999874547944925,0.9688385269121813
,Gulf Oil LP,984,1,0,876015,0.9989847715736041,1.0,0.9999988584683385,0.9994921279837481
,Gymboree,904,2,0,876094,0.9977924944812362,1.0,0.9999977171451531,0.9988950276243094
,H Mart,1010,24,0,875966,0.97678916827853,1.0,0.9999726024269684,0.9882583170254404
,H&M,922,19,1,876058,0.9798087141339001,0.9989165763813651,0.9999783124086125,0.9892703862660944
,H&R Block,936,1,0,876063,0.9989327641408752,1.0,0.9999988585308835,0.999466097170315
,Haagen-Dazs,205,8,0,876787,0.9624413145539906,1.0,0.9999908758603778,0.9808612440191388
,Hallmark,1373,177,0,875450,0.8858064516129033,1.0,0.9997978591340834,0.939445774888813
,Hampton Inn Hotels,431,38,0,876531,0.9189765458422174,1.0,0.9999566491628155,0.9577777777777777
,Hancock Fabrics,566,0,0,876434,1.0,1.0,1.0,1.0
,Hannaford,1030,0,0,875970,1.0,1.0,1.0,1.0
,Harbor Freight Tools,1044,9,0,875947,0.9914529914529915,1.0,0.999989725511327,0.9957081545064378
,Hardee's,1017,4,0,875979,0.9960822722820764,1.0,0.9999954337013389,0.9980372914622179
,Harkins Theatres,481,2,0,876517,0.9958592132505176,1.0,0.9999977182468378,0.9979253112033196
,Harris Teeter,1144,21,0,875835,0.9819742489270387,1.0,0.9999760234559105,0.9909051537462105
,HauteLook,184,0,0,876816,1.0,1.0,1.0,1.0
,H-E-B,1300,5,0,875695,0.9961685823754789,1.0,0.9999942902820601,0.9980806142034548
,HEB Gas & Car Wash,1174,23,1,875802,0.9807852965747702,0.9991489361702127,0.9999737390460423,0.9898819561551433
,Hess Corporation,1038,9,0,875953,0.9914040114613181,1.0,0.9999897255817033,0.99568345323741
,Hibachi Grill,435,12,0,876553,0.9731543624161074,1.0,0.9999863101994718,0.9863945578231292
,Hibbett Sports,335,37,0,876628,0.9005376344086021,1.0,0.9999577945965676,0.9476661951909477
,Hilton Hotels & Resorts,865,110,5,876020,0.8871794871794871,0.9942528735632183,0.9998744478559118,0.9376693766937668
,Hilton Garden Inn,987,7,0,876006,0.9929577464788732,1.0,0.9999920092510043,0.9964664310954063
,Hobby Lobby,1080,17,0,875903,0.9845031905195989,1.0,0.9999805918348708,0.9921910886541112
,Holiday Inn,1005,13,0,875982,0.9872298624754421,1.0,0.9999851597326469,0.9935739001482946
,Holiday Stationstores,811,0,0,876189,1.0,1.0,1.0,1.0
,Home Depot,2105,26,0,874869,0.9877991553261379,1.0,0.9999702821481435,0.9938621340887629
,Home Shopping Network,958,0,0,876042,1.0,1.0,1.0,1.0
,Homeland,513,3,0,876484,0.9941860465116279,1.0,0.9999965772452986,0.9970845481049563
,Honda,1398,36,0,875566,0.9748953974895398,1.0,0.9999588854296815,0.9872881355932204
,HoneyBaked Ham,319,44,0,876637,0.8787878787878788,1.0,0.999949810706517,0.9354838709677419
,Hooters,1056,21,0,875923,0.9805013927576601,1.0,0.9999760258646672,0.9901547116736991
,Hot Topic,1101,1,0,875898,0.9990925589836661,1.0,0.999998858315856,0.9995460735360872
,Hotels.com,516,9,0,876475,0.9828571428571429,1.0,0.9999897317007498,0.9913544668587896
,Hotwire,316,1,0,876683,0.9968454258675079,1.0,0.9999988593381424,0.9984202211690364
,Houlihan's,287,6,0,876707,0.9795221843003413,1.0,0.9999931562552398,0.9896551724137931
,Hudson Group,1281,19,0,875700,0.9853846153846154,1.0,0.9999783035425748,0.9926385122045718
,Hulu,1405,5,0,875590,0.9964539007092199,1.0,0.9999942895973595,0.9982238010657194
,Hungry Howie's Pizza,1017,1,0,875982,0.9990176817288802,1.0,0.9999988584253348,0.9995085995085995
,Hyatt,947,8,0,876045,0.9916230366492147,1.0,0.9999908681324076,0.9957939011566772
,Hy-Vee,1142,8,0,875850,0.9930434782608696,1.0,0.9999908660992992,0.9965095986038394
,IHOP,2346,57,0,874597,0.9762796504369539,1.0,0.9999348313733202,0.9879974731522425
,IKEA,936,6,0,876058,0.9936305732484076,1.0,0.9999931511853015,0.9968051118210862
,Impark,317,12,0,876671,0.9635258358662614,1.0,0.999986312042095,0.9814241486068112
,Ingles Markets,1271,69,0,875660,0.9485074626865672,1.0,0.9999212085017168,0.9735733435465339
,In-N-Out Burger,998,0,0,876002,1.0,1.0,1.0,1.0
,Intel,104,3,0,876893,0.9719626168224299,1.0,0.9999965788417327,0.985781990521327
,Intuit,1046,21,0,875933,0.9803186504217432,1.0,0.9999760261383589,0.9900615238996687
,J. C. Penney,1081,6,0,875913,0.9944802207911684,1.0,0.9999931500515459,0.9972324723247233
,J.Crew,1023,5,0,875972,0.995136186770428,1.0,0.9999942920875776,0.9975621647976597
,Jack in the Box,1029,3,0,875968,0.997093023255814,1.0,0.9999965752290886,0.9985443959243085
,Jamba Juice,1021,0,1,875978,1.0,0.9990215264187867,1.0,0.9995105237395986
,Jason's Deli,1065,11,0,875924,0.9897769516728625,1.0,0.9999874419905587,0.9948622139187296
,Jersey Mike's Subs,1085,1,0,875914,0.9990791896869244,1.0,0.9999988583367108,0.9995393827729157
,JetBlue,1007,7,0,875986,0.9930966469428008,1.0,0.9999920090685657,0.9965363681345869
,Jiffy Lube,969,0,0,876031,1.0,1.0,1.0,1.0
,Jimmy John's,1094,3,0,875903,0.9972652689152234,1.0,0.9999965749749402,0.9986307622090369
,Jo-Ann Fabric and Craft Stores,1094,1,0,875905,0.9990867579908675,1.0,0.99999885832498,0.9995431703974418
,Johnny Rockets,308,18,0,876674,0.9447852760736196,1.0,0.9999794682739206,0.971608832807571
,JoS. A. Bank,367,10,0,876623,0.9734748010610079,1.0,0.9999885927178191,0.9865591397849462
,Journeys,1030,3,0,875967,0.9970958373668926,1.0,0.9999965752251789,0.9985458070770722
,Kaiser Permanente,1081,20,0,875899,0.9818346957311535,1.0,0.9999771668384863,0.9908340971585701
,Kangaroo Express,1295,6,0,875699,0.9953881629515757,1.0,0.9999931483775929,0.9976887519260401
,Kay Jewelers,1014,4,0,875982,0.9960707269155207,1.0,0.9999954337169772,0.9980314960629921
,Key Food,1026,1,0,875973,0.9990262901655307,1.0,0.9999988584136059,0.9995129079396006
,KFC,1139,29,2,875830,0.9751712328767124,0.9982471516213848,0.9999668896477629,0.9865742745777393
,Kickstarter,342,1,0,876657,0.9970845481049563,1.0,0.9999988593043125,0.9985401459854015
,King Kullen,947,0,0,876053,1.0,1.0,1.0,1.0
,King Soopers,1047,1,0,875952,0.9990458015267175,1.0,0.9999988583862376,0.9995226730310262
,Kirkland's,1025,5,0,875970,0.9951456310679612,1.0,0.9999942920745455,0.9975669099756691
,Kmart,1050,6,1,875943,0.9943181818181818,0.9990485252140818,0.9999931502861468,0.9966777408637874
,Kohl's,1957,5,0,875038,0.9974515800203874,1.0,0.9999942859950882,0.9987241643276346
,Krispy Kreme,1067,3,1,875929,0.997196261682243,0.9990636704119851,0.9999965750766041,0.9981290926099158
,Kroger,2309,23,3,874665,0.9901372212692967,0.9987024221453287,0.9999737049096363,0.9944013781223083
,Kum & Go,1330,2,0,875668,0.9984984984984985,1.0,0.9999977160345792,0.9992486851990984
