factual_id	IS_PHYSICAL_TRANSACTION	DESCRIPTION	CONVERTED_AMOUNT	TRANSACTION_DATE	MEM_ID	GOOD_DESCRIPTION	BILLER_NETWORK_ID	LAST_SUCCESSFUL_REFRESH	"CONCAT(COBRAND_ID,MEM_ID)"	IS_DELETED	TRANSACTION_LIST_ID	TRANSACTION_SRC_ELEMENT_ID	ASOF_EPOCH	COBRAND_ID	SHUFFLE_ID	CARD_TRANSACTION_ID	LAST_UPDATED	SUM_INFO_ID	"CONCAT(COBRAND_ID,CARD_TRANSACTION_ID)"	POST_DATE	TRANSACTION_STATUS_ID	AMOUNT_CURR	TRANSACTION_CATEGORY_NAME	MEM_ITEM_ID	CURRENCY_CONV_RATE	"CONCAT(COBRAND_ID,ITEM_ACCOUNT_ID)"	CARD_ACCOUNT_ID	CURRENCY_ID	ASOF	TRANSACTION_CATEGORY_ID	TYPE	EXTRACT_DATE_EPOCH	ITEM_ACCOUNT_ID	KEYWORD	ACCOUNT_SRC_ELEMENT_ID	AMOUNT
01a88bfd-98ed-48cc-8c07-825eec18de88	1	ROANOKE NATURAL FOODS ROANOKE VA	47	2014.03.19	10104844	Natural Foods		1395469914	1.00E+15	0		1381411170	1395469914	10006164	11449	690639858	1395469914	19267	1.00E+16	2014.03.21	1	152	Groceries	11211035	1	1.00E+15	129545	152	2014.03.21	10	debit	1395514381	12628692	natural foods	1381411170	47
01e04239-226b-443c-b913-042e2f280354	1	ULTA 3 #91               ROUND ROCK   TX	58	2014.03.13	12325664	ULTA		1395134003	1.00E+15	0		-538639077	1395099945	10005640	11405	1263853632	1395099945	16455	1.00E+17	2014.03.15	1	152	Personal Care	17805073	1	1.00E+15	15366467	152	2014.03.17	20	debit	1395149387	32269812	ulta	-538639077	58
02091537-da82-496a-80e9-8f07c1d6607d	1	PRO NAILS & SKIN         ROUND ROCK   TX	35	2014.03.13	12325664			1395134003	1.00E+15	0		1840328640	1395099945	10005640	11405	1263853633	1395099945	16455	1.00E+17	2014.03.15	1	152	Personal Care	17805073	1	1.00E+15	15366467	152	2014.03.17	20	debit	1395149399	32269812	nails	1840328640	35
022989b8-9b9f-487e-8269-f5c899395307	1	OLYMPIA DINER ELIZABETH NJ	14.88	2014.03.13	22169876			1395122958	1.00E+15	0		1046619651	1395122958	10006164	15248	686913366	1395122958	19267	1.00E+16	2014.03.17	1	152	Restaurants/Dining	15903755	1	1.00E+15	2133951	152	2014.03.17	22	debit	1395175114	23515027	diner	1046619651	14.88
022c314a-947a-4773-9141-430ee40a3ec7	1	CAFE D'ETOILE LOS ANGELES CA	36.4	2014.03.08	26337876			1395423609	1.00E+15	0		758060485	1395423609	10001372	12423	3089132699	1395423609	1503	1.00E+17	2014.03.08	1	152	Restaurants/Dining	72541455	1	1.00E+16	38024588	152	2014.03.21	22	debit	1395505854	119885344	cafe	758060485	36.4
02537cf5-8787-4a9e-9385-80bee87d3a0e	1	QUESO SOUTHWESTERN G Q ROANOKE VA	16.05	2014.03.15	10104844			1395124981	1.00E+15	0		1815722692	1395124981	10006164	11449	687363156	1395124981	19267	1.00E+16	2014.03.17	1	152	Uncategorized	11211035	1	1.00E+15	129545	152	2014.03.17	1	debit	1395175153	12628692		1815722692	16.05
02594730-78d8-4fb6-87d9-ce30c6aeb202	1	PET FOOD EXPRESS 3046 SAN FRANCISCO CA		2014-01-04	SF									Fake Bank		3088651009																				
029d43c2-55ec-4678-a028-a399167485ed	1	TRADER JOE'S #187 QPS SO SAN FRAN CA	4.98	2014.03.16	11217684	Trader Joe's		1395123775	1.00E+15	0		-786799596	1395123775	10006164	9397	687085777	1395123775	19267	1.00E+16	2014.03.17	1	152	Groceries	17501582	1	1.00E+15	3008041	152	2014.03.17	10	debit	1395175129	27105822	trader joe s	-786799596	4.98
02a0d098-736e-4b02-9814-feed351a0b2a	1	MCDONALD'S F5069         NEWPORT NEWS VA	4.97	2014.03.18	12245996	McDonald's		1395417843	1.00E+15	0		-438168926	1395408209	10005640	15380	1267792600	1395408209	16455	1.00E+17	2014.03.18	1	152	Restaurants/Dining	17637546	1	1.00E+15	14731386	152	2014.03.21	22	debit	1395489971	29855525	mcdonald s	-438168926	4.97
02aa430e-6bd7-42ec-b2ee-a44f38ac8ca5	1	WALGREENS #5723 BRIDGEPORT CT	4.19	2014.03.18	11621078	Walgreens		1395298603	1.00E+15	0		283568010	1395298603	10006164	14515	689273164	1395298603	19267	1.00E+16	2014.03.19	1	152	Healthcare/Medical	16067836	1	1.00E+15	2258683	152	2014.03.19	11	debit	1395349233	23806302	walgreens	283568010	4.19
